Size,Algorithm,Time
100,1,0.005483
100,1,0.005745
100,1,0.005661
100,1,0.006194
100,1,0.005584
100,1,0.005349
100,1,0.005461
100,1,0.005634
100,1,0.005546
100,1,0.00599
200,1,0.053067
200,1,0.054897
200,1,0.052522
200,1,0.051391
200,1,0.044931
200,1,0.043492
200,1,0.042398
200,1,0.041724
200,1,0.044521
200,1,0.042204
300,1,0.147188
300,1,0.148925
300,1,0.145639
300,1,0.148127
300,1,0.145952
300,1,0.145415
300,1,0.15004
300,1,0.145885
300,1,0.146082
300,1,0.152454
400,1,0.354568
400,1,0.353397
400,1,0.351286
400,1,0.353854
400,1,0.35341
400,1,0.352366
400,1,0.351879
400,1,0.354088
400,1,0.354264
400,1,0.352444
500,1,0.720617
500,1,0.714272
500,1,0.71831
500,1,0.716618
500,1,0.71597
500,1,0.715451
500,1,0.715413
500,1,0.713267
500,1,0.712771
500,1,0.716596
600,1,1.291731
600,1,1.28235
600,1,1.284329
600,1,1.298471
600,1,1.306001
600,1,1.286796
600,1,1.290989
600,1,1.291233
600,1,1.28142
600,1,1.292823
700,1,2.103039
700,1,2.079706
700,1,2.08331
700,1,2.076775
700,1,2.084501
700,1,2.089376
700,1,2.101345
700,1,2.07705
700,1,2.09225
700,1,2.078075
800,1,3.431527
800,1,3.483944
800,1,3.445411
800,1,3.435884
800,1,3.433772
800,1,3.449222
800,1,3.455591
800,1,3.417905
800,1,3.434444
800,1,3.479598
900,1,5.355971
900,1,5.431661
900,1,5.37793
900,1,5.393674
900,1,5.404049
900,1,5.431064
900,1,5.47062
900,1,5.427762
900,1,5.665608
900,1,5.458258
1000,1,9.142789
1000,1,9.091097
1000,1,9.202655
1000,1,9.103476
1000,1,9.10341
1000,1,9.105848
1000,1,9.089209
1000,1,11.016602
1000,1,9.113184
1000,1,9.600727
100,2,0.004988
100,2,0.005063
100,2,0.005106
100,2,0.005062
100,2,0.005
100,2,0.005313
100,2,0.005052
100,2,0.005077
100,2,0.005109
100,2,0.005109
200,2,0.034682
200,2,0.036976
200,2,0.036597
200,2,0.036777
200,2,0.035972
200,2,0.033642
200,2,0.034076
200,2,0.033636
200,2,0.034611
200,2,0.033801
300,2,0.113389
300,2,0.112781
300,2,0.112444
300,2,0.115659
300,2,0.11409
300,2,0.112348
300,2,0.112567
300,2,0.112445
300,2,0.114328
300,2,0.11289
400,2,0.266904
400,2,0.265012
400,2,0.270024
400,2,0.266107
400,2,0.26639
400,2,0.266669
400,2,0.265422
400,2,0.267281
400,2,0.265604
400,2,0.266668
500,2,0.520215
500,2,0.519909
500,2,0.51914
500,2,0.519685
500,2,0.518477
500,2,0.519882
500,2,0.518784
500,2,0.518204
500,2,0.519565
500,2,0.519844
600,2,0.903497
600,2,0.897275
600,2,0.899259
600,2,0.898873
600,2,0.900361
600,2,0.895613
600,2,0.897724
600,2,0.898148
600,2,0.898909
600,2,0.901576
700,2,1.432347
700,2,1.427786
700,2,1.4333
700,2,1.428602
700,2,1.427131
700,2,1.425131
700,2,1.427837
700,2,1.427768
700,2,1.428475
700,2,1.42709
800,2,2.144035
800,2,2.137437
800,2,2.139907
800,2,2.135956
800,2,2.141603
800,2,2.140864
800,2,2.140955
800,2,2.153379
800,2,2.136625
800,2,2.135638
900,2,3.055942
900,2,3.056287
900,2,3.053128
900,2,3.058369
900,2,3.057828
900,2,3.057071
900,2,3.05613
900,2,3.055044
900,2,3.056858
900,2,3.056639
1000,2,4.292825
1000,2,4.206722
1000,2,4.204281
1000,2,4.205101
1000,2,4.189298
1000,2,4.201378
1000,2,4.190948
1000,2,4.198853
1000,2,4.196346
1000,2,4.193021
100,3,0.000853
100,3,0.000843
100,3,0.000832
100,3,0.00082
100,3,0.000842
100,3,0.000825
100,3,0.000886
100,3,0.00083
100,3,0.000841
100,3,0.00082
200,3,0.005431
200,3,0.005363
200,3,0.005358
200,3,0.00536
200,3,0.0054
200,3,0.005362
200,3,0.005396
200,3,0.005361
200,3,0.00536
200,3,0.005362
300,3,0.018067
300,3,0.017991
300,3,0.017914
300,3,0.017865
300,3,0.01783
300,3,0.0185
300,3,0.017928
300,3,0.01787
300,3,0.017826
300,3,0.017883
400,3,0.043281
400,3,0.042162
400,3,0.041865
400,3,0.041939
400,3,0.042205
400,3,0.04226
400,3,0.042049
400,3,0.041865
400,3,0.041942
400,3,0.044439
500,3,0.082325
500,3,0.084967
500,3,0.083248
500,3,0.082173
500,3,0.081645
500,3,0.082176
500,3,0.08191
500,3,0.084898
500,3,0.083781
500,3,0.08208
600,3,0.14224
600,3,0.142132
600,3,0.143851
600,3,0.143538
600,3,0.142226
600,3,0.141587
600,3,0.145149
600,3,0.142325
600,3,0.142421
600,3,0.144134
700,3,0.229186
700,3,0.232534
700,3,0.228757
700,3,0.232662
700,3,0.228459
700,3,0.231709
700,3,0.229831
700,3,0.228745
700,3,0.232321
700,3,0.229473
800,3,0.357804
800,3,0.35561
800,3,0.355009
800,3,0.359205
800,3,0.357058
800,3,0.35342
800,3,0.357759
800,3,0.357443
800,3,0.354392
800,3,0.356074
900,3,0.518879
900,3,0.519585
900,3,0.520621
900,3,0.519018
900,3,0.521205
900,3,0.518918
900,3,0.519147
900,3,0.52074
900,3,0.519489
900,3,0.519891
1000,3,0.739337
1000,3,0.73676
1000,3,0.737952
1000,3,0.741439
1000,3,0.738191
1000,3,0.735566
1000,3,0.736425
1000,3,0.737011
1000,3,0.734145
1000,3,0.740861
